,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,file,a,a_tag,X,X_tag,b,b_tag,grammar category,grammar cateogry,encode_cat,encode_pos,name,encoded_case,aXb,pred_y,pred_y_aXb,fold,correctaXb,correctaX+Xb,pred_y_aX_Xb,aXb_correct,aX_Xb_correct
3621,9043,203625,203625,106702,Aran/020610.xml,where're,pro:int~cop,his,det:poss,feet,n,unknown,DET,4,25,Aran,0,where're_feet,0,0,1,0,0,0,1,1
3632,9094,79346,79346,79346,Anne/020414.xml,mean,v,me,pro:obj,E,/e,unknown,NOUN,6,72,Anne,1,mean_E,1,1,1,0,0,1,1,1
387,521,45366,45366,45366,Anne/020122.xml,for,prep,your,det:poss,birthday,n,unknown,DET,4,25,Anne,0,for_birthday,0,0,1,0,0,0,1,1
5085,14554,363772,363772,78656,Nina/020526.xml,hide,v,him,pro:obj,E,/e,unknown,NOUN,6,72,Nina,1,hide_E,1,1,1,0,0,1,1,1
7149,23800,292640,292640,7524,Nina/011129.xml,that's,pro:dem~cop,your,det:poss,mirror,n,unknown,DET,4,25,Nina,0,that's_mirror,0,0,1,0,0,0,1,1
2562,5767,349411,349411,64295,Nina/020426.xml,oh,co,I,pro:sub,love,v,unknown,NOUN,6,84,Nina,2,oh_love,2,2,1,0,0,2,1,1
945,1597,159949,159949,63026,Aran/020302.xml,pulling,n:gerund,your,det:poss,hair,n,unknown,DET,4,25,Aran,0,pulling_hair,0,0,1,0,0,0,1,1
4840,13611,7864,7864,7864,Anne/011104.xml,think,v,she,pro:sub,will,mod,unknown,NOUN,6,84,Anne,2,think_will,2,2,1,0,0,2,1,1
6734,21809,344812,344812,59696,Nina/020406.xml,did,mod,we,pro:sub,sit,v,unknown,NOUN,6,84,Nina,2,did_sit,2,2,1,0,0,2,1,1
50,53,32799,32799,32799,Anne/020029.xml,shall,mod,I,pro:sub,E,/e,unknown,NOUN,6,84,Anne,2,shall_E,2,2,1,0,0,2,1,1
2711,6232,155865,155865,58942,Aran/020302.xml,holds,v,her,det:poss,baby,n,unknown,DET,4,25,Aran,0,holds_baby,0,0,1,0,0,0,1,1
6348,20002,192050,192050,95127,Aran/020517.xml,to,prep,his,det:poss,job,n,unknown,DET,4,25,Aran,0,to_job,0,0,1,0,0,0,1,1
6882,22546,95659,95659,95659,Anne/020604.xml,get,v,your,det:poss,horsie,n,unknown,DET,4,25,Anne,0,get_horsie,0,0,1,0,0,0,1,1
4422,12024,278667,278667,25357,Naomi/020225.xml,of,prep,your,det:poss,shoes,n,unknown,DET,4,25,Naomi,0,of_shoes,0,0,1,0,0,0,1,1
6238,19486,352293,352293,67177,Nina/020426.xml,guess,v,he,pro:sub,does,v,unknown,NOUN,6,84,Nina,2,guess_does,2,2,1,2,0,2,1,1
6962,22890,211391,211391,3664,Eve/010600b.xml,is,cop,your,det:poss,lunch,n,unknown,DET,4,25,Eve,0,is_lunch,0,0,1,0,0,0,1,1
2820,6568,322206,322206,37090,Nina/020212.xml,keep,v,her,pro:obj,warm,v,unknown,NOUN,6,72,Nina,1,keep_warm,1,1,1,0,0,1,1,1
4408,11976,65435,65435,65435,Anne/020320.xml,and,coord,his,det:poss,reindeer,n,unknown,DET,4,25,Anne,0,and_reindeer,0,0,1,-1,0,0,1,1
1485,2802,355787,355787,70671,Nina/020524.xml,there,adv,I,pro:sub,buried,v,unknown,NOUN,6,84,Nina,2,there_buried,2,2,1,0,0,2,1,1
3898,10002,335470,335470,50354,Nina/020318.xml,where's,pro:int~cop,your,det:poss,Snoopy's,adj,unknown,DET,4,25,Nina,0,where's_Snoopy's,0,0,1,0,0,0,1,1
4134,10949,339334,339334,54218,Nina/020328.xml,be,cop,your,det:poss,barrel,n,unknown,DET,4,25,Nina,0,be_barrel,0,0,1,0,0,0,1,1
3867,9867,240107,240107,32380,Eve/020100b.xml,it,pro:per,I,pro:sub,don't,mod~neg,unknown,NOUN,6,84,Eve,2,it_don't,2,2,1,1,0,2,1,1
5854,17775,249695,249695,41968,Eve/020300a.xml,give,v,your,det:poss,father,n,unknown,DET,4,25,Eve,0,give_father,0,0,1,0,0,0,1,1
1996,4174,123678,123678,26755,Aran/020107.xml,at,prep,your,det:poss,train,n,unknown,DET,4,25,Aran,0,at_train,0,0,1,0,0,0,1,1
356,463,239587,239587,31860,Eve/020100b.xml,got,v,your,det:poss,airplane,n,unknown,DET,4,25,Eve,0,got_airplane,0,0,1,0,0,0,1,1
1905,3941,194597,194597,97674,Aran/020517.xml,and,coord,his,det:poss,friend,n,unknown,DET,4,25,Aran,0,and_friend,0,0,1,0,0,0,1,1
3396,8364,222509,222509,14782,Eve/010900b.xml,drink,v,your,det:poss,grape,n,unknown,DET,4,25,Eve,0,drink_grape,0,0,1,0,0,0,1,1
3316,8103,329778,329778,44662,Nina/020305.xml,on,prep,your,det:poss,pajamas,n,unknown,DET,4,25,Nina,0,on_pajamas,0,0,1,0,0,0,1,1
242,295,161734,161734,64811,Aran/020315.xml,has,v,he,pro:sub,delivered,v,unknown,NOUN,6,84,Aran,2,has_delivered,2,2,1,2,0,2,1,1
1873,3847,135187,135187,38264,Aran/020128.xml,S,/s,I,pro:sub,suspect,v,unknown,NOUN,6,84,Aran,2,S_suspect,2,2,1,0,0,2,1,1
837,1363,330342,330342,45226,Nina/020305.xml,is,cop,his,det:poss,name,n,unknown,DET,4,25,Nina,0,is_name,0,0,1,0,0,0,1,1
3602,8990,311639,311639,26523,Nina/020122.xml,at,prep,your,det:poss,hands,n,unknown,DET,4,25,Nina,0,at_hands,0,0,1,0,0,0,1,1
2199,4710,363396,363396,78280,Nina/020526.xml,should,mod,I,pro:sub,fill,v,unknown,NOUN,6,84,Nina,2,should_fill,2,2,1,2,0,2,1,1
5344,15555,234308,234308,26581,Eve/020000b.xml,tell,v,him,pro:obj,good_night,co,unknown,NOUN,6,72,Eve,1,tell_good_night,1,1,1,0,0,1,1,1
4557,12575,137016,137016,40093,Aran/020128.xml,S,/s,your,det:poss,swimming,n:gerund,unknown,DET,4,25,Aran,0,S_swimming,0,0,1,0,0,0,1,1
6620,21256,9416,9416,9416,Anne/011104.xml,with,prep,him,pro:obj,wasn't,cop~neg,unknown,NOUN,6,72,Anne,1,with_wasn't,1,1,1,0,0,1,1,1
6297,19774,157346,157346,60423,Aran/020302.xml,out,adv,his,det:poss,money,n,unknown,DET,4,25,Aran,0,out_money,0,0,1,0,0,0,1,1
3100,7413,209793,209793,2066,Eve/010600a.xml,S,/s,he,pro:sub,fell,v,unknown,NOUN,6,84,Eve,2,S_fell,2,2,1,0,0,2,1,1
2821,6569,360984,360984,75868,Nina/020525.xml,is,cop,he,pro:sub,funny,adj,unknown,NOUN,6,84,Nina,2,is_funny,2,2,1,0,0,2,1,1
2036,4268,37670,37670,37670,Anne/020108.xml,get,v,your,det:poss,blanket,n,unknown,DET,4,25,Anne,0,get_blanket,0,0,1,0,0,0,1,1
2127,4532,256889,256889,3579,Naomi/010800.xml,that's,pro:dem~cop,your,det:poss,name,n,unknown,DET,4,25,Naomi,0,that's_name,0,0,1,0,0,0,1,1
5900,17959,39943,39943,39943,Anne/020108.xml,shall,mod,we,pro:sub,peep,v,unknown,NOUN,6,84,Anne,2,shall_peep,2,2,1,0,0,2,1,1
1239,2227,3756,3756,3756,Anne/011021.xml,or,coord,his,det:poss,tummy,n,unknown,DET,4,25,Anne,0,or_tummy,0,0,1,0,0,0,1,1
3299,8050,16034,16034,16034,Anne/011118.xml,under,adv,her,det:poss,cardigan,n,unknown,DET,4,25,Anne,0,under_cardigan,0,0,1,0,0,0,1,1
5668,16964,370538,370538,85422,Nina/020528.xml,put,v,your,det:poss,peas,n,unknown,DET,4,25,Nina,0,put_peas,2,0,1,0,-2,0,1,1
5988,18381,27586,27586,27586,Anne/020017.xml,wants,v,his,det:poss,tea,n,unknown,DET,4,25,Anne,0,wants_tea,0,0,1,0,0,0,1,1
211,249,223095,223095,15368,Eve/010900b.xml,S,/s,your,det:poss,papa's,adj,unknown,DET,4,25,Eve,0,S_papa's,0,0,1,0,0,0,1,1
4061,10661,198807,198807,101884,Aran/020524.xml,there,adv,we,pro:sub,have,v,unknown,NOUN,6,84,Aran,2,there_have,2,2,1,0,0,2,1,1
5659,16923,270665,270665,17355,Naomi/011129.xml,smell,n,your,det:poss,flower,n,unknown,DET,4,25,Naomi,0,smell_flower,0,0,1,0,0,0,1,1
619,953,319318,319318,34202,Nina/020212.xml,with,prep,her,det:poss,doggies,n,unknown,DET,4,25,Nina,0,with_doggies,0,0,1,0,0,0,1,1
4186,11136,77575,77575,77575,Anne/020412.xml,could,mod,she,pro:sub,E,/e,unknown,NOUN,6,84,Anne,2,could_E,2,2,1,0,0,2,1,1
5419,15859,239397,239397,31670,Eve/020100b.xml,S,/s,your,det:poss,elbow,n,unknown,DET,4,25,Eve,0,S_elbow,0,0,1,0,0,0,1,1
3338,8166,160093,160093,63170,Aran/020302.xml,S,/s,your,det:poss,dinosaur's,adj,unknown,DET,4,25,Aran,0,S_dinosaur's,0,0,1,0,0,0,1,1
3413,8417,16770,16770,16770,Anne/011118.xml,if,conj,I,pro:sub,turn,v,unknown,NOUN,6,84,Anne,2,if_turn,2,2,1,0,0,2,1,1
7322,24733,344255,344255,59139,Nina/020406.xml,around,prep,her,det:poss,house,n,unknown,DET,4,25,Nina,0,around_house,0,0,1,0,0,0,1,1
4438,12087,255200,255200,1890,Naomi/010616.xml,put,v,your,det:poss,arm,n,unknown,DET,4,25,Naomi,0,put_arm,0,0,1,0,0,0,1,1
5995,18400,16893,16893,16893,Anne/011118.xml,you're,pro:per~cop,my,det:poss,baby,n,unknown,DET,4,25,Anne,0,you're_baby,0,0,1,0,0,0,1,1
5985,18373,321030,321030,35914,Nina/020212.xml,no,qn,your,det:poss,turtleneck,n,unknown,DET,4,25,Nina,0,no_turtleneck,0,0,1,0,0,0,1,1
950,1606,241295,241295,33568,Eve/020100b.xml,give,v,her,det:poss,milk,n,unknown,DET,4,25,Eve,0,give_milk,0,0,1,0,0,0,1,1
3094,7387,219572,219572,11845,Eve/010900a.xml,change,v,your,det:poss,wet,adj,unknown,DET,4,25,Eve,0,change_wet,1,0,1,-1,-1,1,1,0
107,119,387292,387292,12739,Peter/020616.xml,eat,v,your,det:poss,sandwich,n,unknown,DET,4,25,Peter,0,eat_sandwich,0,0,1,0,0,0,1,1
2831,6595,180089,180089,83166,Aran/020427.xml,get,v,your,det:poss,telephone,n,unknown,DET,4,25,Aran,0,get_telephone,0,0,1,0,0,0,1,1
990,1682,232557,232557,24830,Eve/020000a.xml,S,/s,your,det:poss,new,adj,unknown,DET,4,25,Eve,0,S_new,0,0,1,0,0,0,1,1
721,1131,240899,240899,33172,Eve/020100b.xml,take,v,his,det:poss,cup,n,unknown,DET,4,25,Eve,0,take_cup,0,0,1,0,0,0,1,1
1675,3305,269817,269817,16507,Naomi/011123.xml,told,v,her,pro:obj,once,conj,unknown,NOUN,6,72,Naomi,1,told_once,1,1,2,0,0,1,1,1
7016,23121,321294,321294,36178,Nina/020212.xml,at,prep,him,pro:obj,here,adv,unknown,NOUN,6,72,Nina,1,at_here,1,1,2,0,0,1,1,1
1976,4094,107092,107092,10169,Aran/020002.xml,for,prep,them,pro:obj,don't,mod~neg,unknown,NOUN,6,72,Aran,1,for_don't,1,1,2,0,0,1,1,1
2402,5306,167059,167059,70136,Aran/020413.xml,didn't,mod~neg,we,pro:sub,have,v,unknown,NOUN,6,84,Aran,2,didn't_have,2,2,2,0,0,2,1,1
2756,6373,199227,199227,102304,Aran/020524.xml,shoving,part,him,pro:obj,in,prep,unknown,NOUN,6,72,Aran,1,shoving_in,1,1,2,0,0,1,1,1
5894,17946,207300,207300,110377,Aran/020610.xml,with,prep,them,pro:obj,because,conj,unknown,NOUN,6,72,Aran,1,with_because,1,1,2,0,0,1,1,1
2330,5114,364112,364112,78996,Nina/020526.xml,S,/s,he,pro:sub,bends,v,unknown,NOUN,6,84,Nina,2,S_bends,2,2,2,0,0,2,1,1
2529,5679,364245,364245,79129,Nina/020526.xml,make,v,him,pro:obj,make,v,unknown,NOUN,6,72,Nina,1,make_make,1,1,2,0,0,1,1,1
1345,2466,195767,195767,98844,Aran/020517.xml,give,v,him,pro:obj,out_of,prep,unknown,NOUN,6,72,Aran,1,give_out_of,1,1,2,1,0,1,1,1
3305,8071,369730,369730,84614,Nina/020527.xml,is,cop,he,pro:sub,jumping,part,unknown,NOUN,6,84,Nina,2,is_jumping,2,2,2,0,0,2,1,1
7251,24348,95354,95354,95354,Anne/020604.xml,hungry,adj,he,pro:sub,was,cop,unknown,NOUN,6,84,Anne,2,hungry_was,2,2,2,0,0,2,1,1
231,277,56512,56512,56512,Anne/020212.xml,with,prep,her,pro:obj,too,adv,unknown,NOUN,6,72,Anne,1,with_too,1,1,2,0,0,1,1,1
5212,15031,187944,187944,91021,Aran/020503.xml,behavior,n,we,pro:sub,expect,v,unknown,NOUN,6,84,Aran,2,behavior_expect,2,2,2,0,0,2,1,1
4556,12573,375016,375016,463,Peter/010908.xml,should,mod,we,pro:sub,wipe,v,unknown,NOUN,6,84,Peter,2,should_wipe,2,2,2,0,0,2,1,1
6294,19755,310594,310594,25478,Nina/020122.xml,no,co,he,pro:sub,was,cop,unknown,NOUN,6,84,Nina,2,no_was,2,2,2,2,0,2,1,1
4103,10843,357985,357985,72869,Nina/020525.xml,if,conj,we,pro:sub,take,v,unknown,NOUN,6,84,Nina,2,if_take,2,2,2,0,0,2,1,1
6777,22007,313599,313599,28483,Nina/020129.xml,sakes,n,I,pro:sub,don't,mod~neg,unknown,NOUN,6,84,Nina,2,sakes_don't,2,2,2,2,0,2,1,1
4068,10709,104657,104657,7734,Aran/011126.xml,perhaps,adv,she,pro:sub,doesn't,mod~neg,unknown,NOUN,6,84,Aran,2,perhaps_doesn't,2,2,2,0,0,2,1,1
3088,7360,304195,304195,19079,Nina/020106.xml,and,coord,them,pro:obj,we're,pro:sub~aux,unknown,NOUN,6,72,Nina,1,and_we're,2,1,2,0,-1,1,1,1
7132,23711,335152,335152,50036,Nina/020318.xml,giving,part,him,pro:obj,more,pro:indef,unknown,NOUN,6,72,Nina,1,giving_more,1,1,2,0,0,1,1,1
2724,6270,138772,138772,41849,Aran/020211.xml,brought,v,your,det:poss,balloon,n,unknown,DET,4,25,Aran,0,brought_balloon,0,0,2,0,0,0,1,1
5880,17903,359413,359413,74297,Nina/020525.xml,pull,v,your,det:poss,rubber,n,unknown,DET,4,25,Nina,0,pull_rubber,0,0,2,0,0,0,1,1
5641,16830,59711,59711,59711,Anne/020301.xml,in,prep,her,det:poss,push,n,unknown,DET,4,25,Anne,0,in_push,0,0,2,0,0,0,1,1
4994,14168,360624,360624,75508,Nina/020525.xml,is,cop,she,pro:sub,running,part,unknown,NOUN,6,84,Nina,2,is_running,2,2,2,0,0,2,1,1
444,624,45532,45532,45532,Anne/020122.xml,was,cop,your,det:poss,holiday,n,unknown,DET,4,25,Anne,0,was_holiday,0,0,2,0,0,0,1,1
298,377,191887,191887,94964,Aran/020517.xml,S,/s,he,pro:sub,isn't,cop~neg,unknown,NOUN,6,84,Aran,2,S_isn't,2,2,2,0,0,2,1,1
4535,12453,95667,95667,95667,Anne/020604.xml,muddle,v,them,pro:obj,all,post,unknown,NOUN,6,72,Anne,1,muddle_all,1,1,2,0,0,1,1,1
6291,19733,82503,82503,82503,Anne/020502.xml,end,n,she,pro:sub,willn't,mod~neg,unknown,NOUN,6,84,Anne,2,end_willn't,2,2,2,2,0,2,1,1
7135,23719,168000,168000,71077,Aran/020413.xml,telephoning,part,her,det:poss,husband,n,unknown,DET,4,25,Aran,0,telephoning_husband,0,0,2,0,0,0,1,1
1948,4044,177462,177462,80539,Aran/020420.xml,no,co,she,pro:sub,hasn't,aux~neg,unknown,NOUN,6,84,Aran,2,no_hasn't,2,2,2,0,0,2,1,1
4844,13623,138956,138956,42033,Aran/020211.xml,here's,pro:exist~cop,your,det:poss,fire,n,unknown,DET,4,25,Aran,0,here's_fire,0,0,2,0,0,0,1,1
3571,8904,43159,43159,43159,Anne/020120.xml,tickle,v,me,pro:obj,are,aux,unknown,NOUN,6,72,Anne,1,tickle_are,1,1,2,0,0,1,1,1
5470,16078,56063,56063,56063,Anne/020212.xml,posting,part,them,pro:obj,in,prep,unknown,NOUN,6,72,Anne,1,posting_in,1,1,2,0,0,1,1,1
5778,17419,50173,50173,50173,Anne/020210.xml,telling,part,me,pro:obj,it's,pro:per~cop,unknown,NOUN,6,72,Anne,1,telling_it's,1,1,2,1,0,1,1,1
780,1231,26029,26029,26029,Anne/020015.xml,give,v,her,pro:obj,another,qn,unknown,NOUN,6,72,Anne,1,give_another,1,1,2,0,0,1,1,1
7125,23661,196850,196850,99927,Aran/020524.xml,pull,v,them,pro:obj,out,adv,unknown,NOUN,6,72,Aran,1,pull_out,1,1,2,0,0,1,1,1
6535,20826,200849,200849,103926,Aran/020524.xml,not,neg,your,det:poss,shirt,n,unknown,DET,4,25,Aran,0,not_shirt,0,0,2,0,0,0,1,1
6945,22817,313142,313142,28026,Nina/020129.xml,make,v,her,pro:obj,clap,v,unknown,NOUN,6,72,Nina,1,make_clap,1,1,2,0,0,1,1,1
4768,13357,298675,298675,13559,Nina/020010.xml,dear,co,I,pro:sub,mixed,v,unknown,NOUN,6,84,Nina,2,dear_mixed,2,2,2,0,0,2,1,1
857,1413,335228,335228,50112,Nina/020318.xml,shall,mod,I,pro:sub,get,v,unknown,NOUN,6,84,Nina,2,shall_get,2,2,2,0,0,2,1,1
1202,2142,36478,36478,36478,Anne/020108.xml,in,prep,her,det:poss,dress,n,unknown,DET,4,25,Anne,0,in_dress,0,0,2,0,0,0,1,1
4650,12905,252973,252973,45246,Eve/020300b.xml,may,mod,I,pro:sub,top,v,unknown,NOUN,6,84,Eve,2,may_top,2,2,2,0,0,2,1,1
4787,13412,227365,227365,19638,Eve/011000a.xml,after,prep,your,det:poss,cheese,n,unknown,DET,4,25,Eve,0,after_cheese,0,0,2,0,0,0,1,1
3004,7097,179473,179473,82550,Aran/020427.xml,so,conj,they,pro:sub,could,mod,unknown,NOUN,6,84,Aran,2,so_could,2,2,2,0,0,2,1,1
6821,22241,364871,364871,79755,Nina/020526.xml,are,cop,they,pro:sub,boots,v,unknown,NOUN,6,84,Nina,2,are_boots,0,2,2,2,2,2,1,1
6781,22027,34202,34202,34202,Anne/020029.xml,no,co,she,pro:sub,says,v,unknown,NOUN,6,84,Anne,2,no_says,2,2,2,2,0,2,1,1
1852,3801,103776,103776,6853,Aran/011126.xml,out_of,prep,your,det:poss,boat,n,unknown,DET,4,25,Aran,0,out_of_boat,0,0,2,0,0,0,1,1
5304,15410,384886,384886,10333,Peter/020522.xml,maybe,adv,we,pro:sub,should,mod,unknown,NOUN,6,84,Peter,2,maybe_should,2,2,2,0,0,2,1,1
343,443,14381,14381,14381,Anne/011106.xml,S,/s,my,det:poss,curtains,n,unknown,DET,4,25,Anne,0,S_curtains,0,0,2,0,0,0,1,1
2903,6805,224559,224559,16832,Eve/010900c.xml,if,conj,she,pro:sub,E,/e,unknown,NOUN,6,84,Eve,2,if_E,2,2,2,0,0,2,1,1
3667,9227,142004,142004,45081,Aran/020211.xml,didn't,mod~neg,we,pro:sub,when,conj,unknown,NOUN,6,84,Aran,2,didn't_when,2,2,2,0,0,2,1,1
6490,20635,310085,310085,24969,Nina/020122.xml,push,v,your,det:poss,feet,n,unknown,DET,4,25,Nina,0,push_feet,0,0,2,0,0,0,1,1
2126,4525,53041,53041,53041,Anne/020210.xml,he's,pro:sub~cop,my,det:poss,favorite,n,unknown,DET,4,25,Anne,0,he's_favorite,0,0,2,0,0,0,1,1
4728,13216,283505,283505,30195,Naomi/020508.xml,that,comp,she,pro:sub,wasn't,cop~neg,unknown,NOUN,6,84,Naomi,2,that_wasn't,2,2,2,0,0,2,1,1
1920,3973,142432,142432,45509,Aran/020211.xml,got,v,your,det:poss,trousers,n,unknown,DET,4,25,Aran,0,got_trousers,0,0,2,0,0,0,1,1
7103,23541,233004,233004,25277,Eve/020000a.xml,like,v,them,pro:obj,on,prep,unknown,NOUN,6,72,Eve,1,like_on,1,1,2,0,0,1,1,1
4371,11784,363237,363237,78121,Nina/020526.xml,does,mod,she,pro:sub,already,adv,unknown,NOUN,6,84,Nina,2,does_already,2,2,2,0,0,2,1,1
5163,14842,73350,73350,73350,Anne/020400.xml,do,mod,we,pro:sub,any,qn,unknown,NOUN,6,84,Anne,2,do_any,2,2,2,1,0,2,1,1
7011,23103,374304,374304,89188,Nina/020528.xml,like,conj,she,pro:sub,fell,v,unknown,NOUN,6,84,Nina,2,like_fell,2,2,2,0,0,2,1,1
5190,14949,381889,381889,7336,Peter/020503.xml,washed,v,your,det:poss,face,n,unknown,DET,4,25,Peter,0,washed_face,0,0,2,0,0,0,1,1
2678,6135,247877,247877,40150,Eve/020300a.xml,broke,v,my,det:poss,cream,n,unknown,DET,4,25,Eve,0,broke_cream,0,0,2,0,0,0,1,1
3258,7936,104492,104492,7569,Aran/011126.xml,there's,pro:exist~cop,its,det:poss,grass,n,unknown,DET,4,25,Aran,0,there's_grass,0,0,2,0,0,0,1,1
1887,3882,280694,280694,27384,Naomi/020321.xml,Nomi,n:prop,I,pro:sub,don't,mod~neg,unknown,NOUN,6,84,Naomi,2,Nomi_don't,2,2,2,0,0,2,1,1
2945,6926,222555,222555,14828,Eve/010900b.xml,or,coord,I,pro:sub,will,mod,unknown,NOUN,6,84,Eve,2,or_will,2,2,2,0,0,2,1,1
6040,18652,151365,151365,54442,Aran/020225.xml,S,/s,I,pro:sub,throw,v,unknown,NOUN,6,84,Aran,2,S_throw,2,2,2,0,0,2,1,1
217,256,339509,339509,54393,Nina/020328.xml,shall,mod,I,pro:sub,change,v,unknown,NOUN,6,84,Nina,2,shall_change,2,2,2,0,0,2,1,1
82,90,62229,62229,62229,Anne/020320.xml,if,conj,they,pro:sub,can,mod,unknown,NOUN,6,84,Anne,2,if_can,2,2,2,0,0,2,1,1
3786,9589,320904,320904,35788,Nina/020212.xml,making,part,her,pro:obj,say,v,unknown,NOUN,6,72,Nina,1,making_say,1,1,2,0,0,1,1,1
1530,2932,23131,23131,23131,Anne/020015.xml,think,v,we,pro:sub,better,adv,unknown,NOUN,6,84,Anne,2,think_better,2,2,2,0,0,2,1,1
370,489,217736,217736,10009,Eve/010800.xml,on,prep,her,det:poss,bottom,n,unknown,DET,4,25,Eve,0,on_bottom,0,0,2,0,0,0,1,1
2043,4288,138254,138254,41331,Aran/020211.xml,find,v,your,det:poss,tow,n,unknown,DET,4,25,Aran,0,find_tow,0,0,2,0,0,0,1,1
5318,15476,154871,154871,57948,Aran/020225.xml,had,v,your,det:poss,tea,n,unknown,DET,4,25,Aran,0,had_tea,0,0,2,0,0,0,1,1
4026,10468,72821,72821,72821,Anne/020400.xml,pass,v,him,pro:obj,look,v,unknown,NOUN,6,72,Anne,1,pass_look,1,1,2,0,0,1,1,1
5309,15434,210788,210788,3061,Eve/010600b.xml,is,cop,your,det:poss,grape,n,unknown,DET,4,25,Eve,0,is_grape,0,0,2,0,0,0,1,1
4461,12176,102909,102909,5986,Aran/011126.xml,throws,v,them,pro:obj,in,prep,unknown,NOUN,6,72,Aran,1,throws_in,2,1,2,1,-1,1,1,1
1174,2071,12229,12229,12229,Anne/011106.xml,place,n,we,pro:sub,went,v,unknown,NOUN,6,84,Anne,2,place_went,2,2,2,2,0,2,1,1
3333,8151,42055,42055,42055,Anne/020120.xml,where's,pro:int~cop,he,pro:sub,having,part,unknown,NOUN,6,84,Anne,2,where's_having,2,2,2,0,0,2,1,1
6401,20254,126275,126275,29352,Aran/020107.xml,took,v,your,det:poss,truck,n,unknown,DET,4,25,Aran,0,took_truck,0,0,2,0,0,0,1,1
4831,13566,251884,251884,44157,Eve/020300b.xml,for,prep,my,det:poss,leg,n,unknown,DET,4,25,Eve,0,for_leg,0,0,2,0,0,0,1,1
2247,4845,36342,36342,36342,Anne/020108.xml,cuddle,v,me,pro:obj,E,/e,unknown,NOUN,6,72,Anne,1,cuddle_E,2,1,2,1,-1,1,1,1
1940,4026,178544,178544,81621,Aran/020420.xml,bringing,part,your,det:poss,sheets,n,unknown,DET,4,25,Aran,0,bringing_sheets,0,0,2,0,0,0,1,1
3027,7160,72773,72773,72773,Anne/020400.xml,now,adv,we,pro:sub,go,v,unknown,NOUN,6,84,Anne,2,now_go,2,2,2,0,0,2,1,1
1564,3019,128325,128325,31402,Aran/020121.xml,S,/s,your,det:poss,digger,n,unknown,DET,4,25,Aran,0,S_digger,0,0,2,0,0,0,1,1
2784,6472,344130,344130,59014,Nina/020406.xml,homes,n,I,pro:sub,see,v,unknown,NOUN,6,84,Nina,2,homes_see,2,2,2,0,0,2,1,1
4750,13304,139268,139268,42345,Aran/020211.xml,what's,pro:int~cop,he,pro:sub,delivering,part,unknown,NOUN,6,84,Aran,2,what's_delivering,2,2,2,0,0,2,1,1
5254,15206,324328,324328,39212,Nina/020228.xml,read,v,me,pro:obj,some,qn,unknown,NOUN,6,72,Nina,1,read_some,1,1,2,0,0,1,1,1
1504,2845,39198,39198,39198,Anne/020108.xml,left,part,her,pro:obj,at,prep,unknown,NOUN,6,72,Anne,1,left_at,1,1,2,0,0,1,1,1
1450,2730,369370,369370,84254,Nina/020527.xml,where's,pro:int~cop,he,pro:sub,jumping,part,unknown,NOUN,6,84,Nina,2,where's_jumping,2,2,2,0,0,2,1,1
5818,17612,334293,334293,49177,Nina/020314.xml,broke,v,her,det:poss,arm,n,unknown,DET,4,25,Nina,0,broke_arm,0,0,2,0,0,0,1,1
3675,9253,191598,191598,94675,Aran/020517.xml,have,v,him,pro:obj,as,prep,unknown,NOUN,6,72,Aran,1,have_as,1,1,2,0,0,1,1,1
2326,5101,119044,119044,22121,Aran/020100.xml,has,v,your,det:poss,braces,n,unknown,DET,4,25,Aran,0,has_braces,0,0,2,0,0,0,1,1
510,760,340737,340737,55621,Nina/020328.xml,for,prep,your,det:poss,horsie,n,unknown,DET,4,25,Nina,0,for_horsie,0,0,2,0,0,0,1,1
3169,7620,91884,91884,91884,Anne/020525.xml,what's,pro:int~cop,she,pro:sub,drinking,part,unknown,NOUN,6,84,Anne,2,what's_drinking,2,2,2,0,0,2,1,1
5526,16356,132019,132019,35096,Aran/020121.xml,but,conj,she,pro:sub,takes,v,unknown,NOUN,6,84,Aran,2,but_takes,2,2,2,0,0,2,1,1
2566,5773,273377,273377,20067,Naomi/020018.xml,on,prep,your,det:poss,neck,n,unknown,DET,4,25,Naomi,0,on_neck,0,0,2,0,0,0,1,1
5048,14395,237433,237433,29706,Eve/020100a.xml,have,v,their,det:poss,shoes,n,unknown,DET,4,25,Eve,0,have_shoes,0,0,2,0,0,0,1,1
1354,2499,300473,300473,15357,Nina/020024.xml,at,prep,your,det:poss,other,qn,unknown,DET,4,25,Nina,0,at_other,0,0,2,0,0,0,1,1
5758,17290,381226,381226,6673,Peter/020415.xml,comes,v,she,pro:sub,can,mod,unknown,NOUN,6,84,Peter,2,comes_can,2,2,2,2,0,2,1,1
3385,8338,226892,226892,19165,Eve/011000a.xml,with,prep,your,det:poss,pencil,n,unknown,DET,4,25,Eve,0,with_pencil,0,0,2,0,0,0,1,1
6986,22986,259860,259860,6550,Naomi/011010a.xml,off,prep,your,det:poss,sleeper,n,unknown,DET,4,25,Naomi,0,off_sleeper,0,0,2,0,0,0,1,1
4258,11395,177803,177803,80880,Aran/020420.xml,call,v,her,pro:obj,Becky,n:prop,unknown,NOUN,6,72,Aran,1,call_Becky,1,1,2,0,0,1,1,1
